"aid","Latitude","Longitude","Habitat_WWF","class_description","metric","buff_dist_km","buff_metric","value_median","sp_name","sp_ab","sp_pa"
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",1,"cpland_1",41.848299912816,"sppE",4,1
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",1,"cpland_1",41.848299912816,"sppF",0,0
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",1,"cpland_1",41.848299912816,"sppG",2,1
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",1,"cpland_1",41.848299912816,"sppH",2,1
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",1,"cpland_1",41.848299912816,"sppI",1,1
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",1,"cpland_1",41.848299912816,"sppJ",0,0
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",1,"cpland_1",41.848299912816,"sppK",0,0
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",10,"cpland_10",49.8129234955558,"sppA",0,0
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",10,"cpland_10",49.8129234955558,"sppB",0,0
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",10,"cpland_10",49.8129234955558,"sppC",0,0
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",10,"cpland_10",49.8129234955558,"sppD",0,0
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",10,"cpland_10",49.8129234955558,"sppE",4,1
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",10,"cpland_10",49.8129234955558,"sppF",0,0
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",10,"cpland_10",49.8129234955558,"sppG",2,1
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",10,"cpland_10",49.8129234955558,"sppH",2,1
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",10,"cpland_10",49.8129234955558,"sppI",1,1
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",10,"cpland_10",49.8129234955558,"sppJ",0,0
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",10,"cpland_10",49.8129234955558,"sppK",0,0
12,-0.13087,-51.29402,"Floresta","Forest","cpland",1,"cpland_1",54.5879120879121,"sppA",1,1
12,-0.13087,-51.29402,"Floresta","Forest","cpland",1,"cpland_1",54.5879120879121,"sppB",0,0
12,-0.13087,-51.29402,"Floresta","Forest","cpland",1,"cpland_1",54.5879120879121,"sppC",1,1
12,-0.13087,-51.29402,"Floresta","Forest","cpland",1,"cpland_1",54.5879120879121,"sppD",0,0
12,-0.13087,-51.29402,"Floresta","Forest","cpland",1,"cpland_1",54.5879120879121,"sppE",1,1
12,-0.13087,-51.29402,"Floresta","Forest","cpland",1,"cpland_1",54.5879120879121,"sppF",0,0
12,-0.13087,-51.29402,"Floresta","Forest","cpland",1,"cpland_1",54.5879120879121,"sppG",0,0
