"aid","Latitude","Longitude","Habitat_WWF","sp","int_pres"
34,0.59311,-51.34351,"Cerrado","sppE",0
34,0.59311,-51.34351,"Cerrado","sppF",0
34,0.59311,-51.34351,"Cerrado","sppG",0
34,0.59311,-51.34351,"Cerrado","sppH",1
34,0.59311,-51.34351,"Cerrado","sppI",4
34,0.59311,-51.34351,"Cerrado","sppJ",2
34,0.59311,-51.34351,"Cerrado","sppK",2
35,0.40785,-51.11499,"Cerrado","sppA",0
35,0.40785,-51.11499,"Cerrado","sppB",0
35,0.40785,-51.11499,"Cerrado","sppC",3
35,0.40785,-51.11499,"Cerrado","sppD",0
35,0.40785,-51.11499,"Cerrado","sppE",1
35,0.40785,-51.11499,"Cerrado","sppF",0
35,0.40785,-51.11499,"Cerrado","sppG",0
35,0.40785,-51.11499,"Cerrado","sppH",2
35,0.40785,-51.11499,"Cerrado","sppI",4
35,0.40785,-51.11499,"Cerrado","sppJ",1
35,0.40785,-51.11499,"Cerrado","sppK",0
36,-0.1164,-51.38822,"Floresta","sppA",0
36,-0.1164,-51.38822,"Floresta","sppB",0
36,-0.1164,-51.38822,"Floresta","sppC",1
36,-0.1164,-51.38822,"Floresta","sppD",0
36,-0.1164,-51.38822,"Floresta","sppE",0
36,-0.1164,-51.38822,"Floresta","sppF",0
36,-0.1164,-51.38822,"Floresta","sppG",2
36,-0.1164,-51.38822,"Floresta","sppH",1
36,-0.1164,-51.38822,"Floresta","sppI",1
36,-0.1164,-51.38822,"Floresta","sppJ",0
36,-0.1164,-51.38822,"Floresta","sppK",4
37,-0.09047,-51.4149,"Floresta","sppA",0
37,-0.09047,-51.4149,"Floresta","sppB",2
37,-0.09047,-51.4149,"Floresta","sppC",1
37,-0.09047,-51.4149,"Floresta","sppD",1
37,-0.09047,-51.4149,"Floresta","sppE",0
37,-0.09047,-51.4149,"Floresta","sppF",0
37,-0.09047,-51.4149,"Floresta","sppG",2
37,-0.09047,-51.4149,"Floresta","sppH",0
37,-0.09047,-51.4149,"Floresta","sppI",1
37,-0.09047,-51.4149,"Floresta","sppJ",0
37,-0.09047,-51.4149,"Floresta","sppK",3
38,-0.07973,-51.44478,"Floresta","sppA",0
38,-0.07973,-51.44478,"Floresta","sppB",1
38,-0.07973,-51.44478,"Floresta","sppC",1
38,-0.07973,-51.44478,"Floresta","sppD",2
38,-0.07973,-51.44478,"Floresta","sppE",0
38,-0.07973,-51.44478,"Floresta","sppF",0
38,-0.07973,-51.44478,"Floresta","sppG",2
38,-0.07973,-51.44478,"Floresta","sppH",1
38,-0.07973,-51.44478,"Floresta","sppI",1
38,-0.07973,-51.44478,"Floresta","sppJ",0
38,-0.07973,-51.44478,"Floresta","sppK",1
39,-0.08339,-51.48884,"Floresta","sppA",0
39,-0.08339,-51.48884,"Floresta","sppB",0
39,-0.08339,-51.48884,"Floresta","sppC",0
39,-0.08339,-51.48884,"Floresta","sppD",0
39,-0.08339,-51.48884,"Floresta","sppE",0
39,-0.08339,-51.48884,"Floresta","sppF",0
39,-0.08339,-51.48884,"Floresta","sppG",1
39,-0.08339,-51.48884,"Floresta","sppH",2
39,-0.08339,-51.48884,"Floresta","sppI",1
39,-0.08339,-51.48884,"Floresta","sppJ",1
39,-0.08339,-51.48884,"Floresta","sppK",3
40,0.12307,-51.11346,"Cerrado","sppA",0
40,0.12307,-51.11346,"Cerrado","sppB",0
40,0.12307,-51.11346,"Cerrado","sppC",1
40,0.12307,-51.11346,"Cerrado","sppD",0
40,0.12307,-51.11346,"Cerrado","sppE",1
40,0.12307,-51.11346,"Cerrado","sppF",0
40,0.12307,-51.11346,"Cerrado","sppG",0
40,0.12307,-51.11346,"Cerrado","sppH",0
40,0.12307,-51.11346,"Cerrado","sppI",5
40,0.12307,-51.11346,"Cerrado","sppJ",3
40,0.12307,-51.11346,"Cerrado","sppK",0
41,0.14995,-51.03901,"Cerrado","sppA",0
41,0.14995,-51.03901,"Cerrado","sppB",0
41,0.14995,-51.03901,"Cerrado","sppC",0
41,0.14995,-51.03901,"Cerrado","sppD",0
41,0.14995,-51.03901,"Cerrado","sppE",1
41,0.14995,-51.03901,"Cerrado","sppF",0
41,0.14995,-51.03901,"Cerrado","sppG",1
41,0.14995,-51.03901,"Cerrado","sppH",1
41,0.14995,-51.03901,"Cerrado","sppI",3
41,0.14995,-51.03901,"Cerrado","sppJ",1
41,0.14995,-51.03901,"Cerrado","sppK",1
42,0.2149,-50.97372,"Cerrado","sppA",0
42,0.2149,-50.97372,"Cerrado","sppB",1
42,0.2149,-50.97372,"Cerrado","sppC",1
42,0.2149,-50.97372,"Cerrado","sppD",0
42,0.2149,-50.97372,"Cerrado","sppE",1
42,0.2149,-50.97372,"Cerrado","sppF",0
42,0.2149,-50.97372,"Cerrado","sppG",0
42,0.2149,-50.97372,"Cerrado","sppH",1
42,0.2149,-50.97372,"Cerrado","sppI",1
42,0.2149,-50.97372,"Cerrado","sppJ",3
42,0.2149,-50.97372,"Cerrado","sppK",0
43,0.26175,-50.947771,"Cerrado","sppA",0
43,0.26175,-50.947771,"Cerrado","sppB",0
43,0.26175,-50.947771,"Cerrado","sppC",1
43,0.26175,-50.947771,"Cerrado","sppD",0
43,0.26175,-50.947771,"Cerrado","sppE",1
43,0.26175,-50.947771,"Cerrado","sppF",0
43,0.26175,-50.947771,"Cerrado","sppG",2
43,0.26175,-50.947771,"Cerrado","sppH",1
